sector_rank,sector_code,sector_name,heat_score,pct_change,amount,turnover,up_count,down_count,flat_count,stock_count,up_ratio,selected_count,leader_name,leader_code,leader_pct_change,quant_note,data_source
1,BK1596,其他生物制品,81.62,8.59,13953226913.0,3.2,37,0,1,38,0.9736842105263158,0,三生国健,688336,20.0,热度81.6 = 涨幅8.59%、上涨占比97.4%、成交额139.5亿、领涨股三生国健 20.00%,东方财富行业板块
2,BK1600,医疗研发外包,80.04,8.11,28961536221.0,5.66,28,1,0,29,0.9655172413793104,0,万邦医药,301520,20.0,热度80.0 = 涨幅8.11%、上涨占比96.6%、成交额289.6亿、领涨股万邦医药 20.00%,东方财富行业板块
3,BK1044,生物制品,70.21,7.23,18587678418.0,2.37,56,1,1,58,0.9655172413793104,0,三生国健,688336,20.0,热度70.2 = 涨幅7.23%、上涨占比96.6%、成交额185.9亿、领涨股三生国健 20.00%,东方财富行业板块
4,BK1216,医药生物,62.76,4.84,150342964111.0,2.56,473,33,2,508,0.9311023622047244,0,万邦医药,301520,20.0,热度62.8 = 涨幅4.84%、上涨占比93.1%、成交额1503.4亿、领涨股万邦医药 20.00%,东方财富行业板块
5,BK1325,半导体材料,61.62,5.92,105719103294.0,12.27,24,7,0,31,0.7741935483870968,0,雅克科技,002409,10.0,热度61.6 = 涨幅5.92%、上涨占比77.4%、成交额1057.2亿、领涨股雅克科技 10.00%,东方财富行业板块
6,BK0727,医疗服务,59.98,5.76,34995245187.0,3.26,52,2,0,54,0.9629629629629629,0,万邦医药,301520,20.0,热度60.0 = 涨幅5.76%、上涨占比96.3%、成交额350.0亿、领涨股万邦医药 20.00%,东方财富行业板块
7,BK1594,化学制剂,57.16,6.17,44990200293.0,3.09,105,9,0,114,0.9210526315789473,0,海思科,002653,10.0,热度57.2 = 涨幅6.17%、上涨占比92.1%、成交额449.9亿、领涨股海思科 10.00%,东方财富行业板块
8,BK0465,化学制药,55.27,5.8,55659375248.0,3.13,148,12,0,160,0.925,0,海思科,002653,10.0,热度55.3 = 涨幅5.80%、上涨占比92.5%、成交额556.6亿、领涨股海思科 10.00%,东方财富行业板块
