sector_rank,sector_code,sector_name,heat_score,pct_change,amount,turnover,up_count,down_count,flat_count,stock_count,up_ratio,selected_count,leader_name,leader_code,leader_pct_change,quant_note,data_source
1,BK1409,激光设备,81.65,6.43,36949871382.0,10.11,9,1,0,10,0.9,0,杰普特,688025,18.94,热度81.7 = 涨幅6.43%、上涨占比90.0%、成交额369.5亿、领涨股杰普特 18.94%,东方财富行业板块
2,BK1625,钨,72.75,5.76,25366688020.0,7.89,4,0,0,4,1.0,0,翔鹭钨业,002842,9.99,热度72.8 = 涨幅5.76%、上涨占比100.0%、成交额253.7亿、领涨股翔鹭钨业 9.99%,东方财富行业板块
3,BK1479,航空运输,62.38,4.88,7829875367.0,1.73,9,0,0,9,1.0,0,华夏航空,002928,10.03,热度62.4 = 涨幅4.88%、上涨占比100.0%、成交额78.3亿、领涨股华夏航空 10.03%,东方财富行业板块
4,BK1331,数字芯片设计,61.42,4.07,268992775413.0,6.16,36,15,0,51,0.7058823529411765,0,中微半导,688380,20.0,热度61.4 = 涨幅4.07%、上涨占比70.6%、成交额2689.9亿、领涨股中微半导 20.00%,东方财富行业板块
5,BK1339,被动元件,56.44,4.58,55959746049.0,10.07,13,6,0,19,0.6842105263157895,0,艾华集团,603989,10.01,热度56.4 = 涨幅4.58%、上涨占比68.4%、成交额559.6亿、领涨股艾华集团 10.01%,东方财富行业板块
6,BK0420,航空机场,54.27,3.93,8801324429.0,1.63,14,0,0,14,1.0,0,华夏航空,002928,10.03,热度54.3 = 涨幅3.93%、上涨占比100.0%、成交额88.0亿、领涨股华夏航空 10.03%,东方财富行业板块
7,BK1036,半导体,52.44,2.27,603349899545.0,7.33,109,67,3,179,0.6089385474860335,0,中微半导,688380,20.0,热度52.4 = 涨幅2.27%、上涨占比60.9%、成交额6033.5亿、领涨股中微半导 20.00%,东方财富行业板块
8,BK1366,证券Ⅲ,49.23,3.05,91746885829.0,2.7,49,0,0,49,1.0,0,长江证券,000783,9.97,热度49.2 = 涨幅3.05%、上涨占比100.0%、成交额917.5亿、领涨股长江证券 9.97%,东方财富行业板块
