sector_rank,sector_code,sector_name,heat_score,pct_change,amount,turnover,up_count,down_count,flat_count,stock_count,up_ratio,selected_count,leader_name,leader_code,leader_pct_change,quant_note,data_source
1,BK1328,集成电路封测,85.95,7.43,70191280936.0,14.39,13,0,0,13,1.0,0,汇成股份,688403,19.99,热度86.0 = 涨幅7.43%、上涨占比100.0%、成交额701.9亿、领涨股汇成股份 19.99%,东方财富行业板块
2,BK1621,锂,76.72,7.37,24455073298.0,7.66,8,0,0,8,1.0,0,永杉锂业,603399,10.02,热度76.7 = 涨幅7.37%、上涨占比100.0%、成交额244.6亿、领涨股永杉锂业 10.02%,东方财富行业板块
3,BK1462,玻纤制造,76.58,7.37,33507326841.0,6.98,8,0,0,8,1.0,0,中国巨石,600176,9.99,热度76.6 = 涨幅7.37%、上涨占比100.0%、成交额335.1亿、领涨股中国巨石 9.99%,东方财富行业板块
4,BK1015,能源金属,65.37,5.97,29097045136.0,6.52,11,0,0,11,1.0,0,永杉锂业,603399,10.02,热度65.4 = 涨幅5.97%、上涨占比100.0%、成交额291.0亿、领涨股永杉锂业 10.02%,东方财富行业板块
5,BK1326,半导体设备,63.79,5.91,70978495691.0,4.96,22,0,1,23,0.9565217391304348,0,华亚智能,003043,10.01,热度63.8 = 涨幅5.91%、上涨占比95.7%、成交额709.8亿、领涨股华亚智能 10.01%,东方财富行业板块
6,BK1329,集成电路制造,61.7,5.61,50758579905.0,6.22,8,0,0,8,1.0,0,华虹宏力,688347,8.19,热度61.7 = 涨幅5.61%、上涨占比100.0%、成交额507.6亿、领涨股华虹宏力 8.19%,东方财富行业板块
7,BK1036,半导体,57.23,3.82,551959723700.0,7.3,148,28,3,179,0.8268156424581006,0,汇成股份,688403,19.99,热度57.2 = 涨幅3.82%、上涨占比82.7%、成交额5519.6亿、领涨股汇成股份 19.99%,东方财富行业板块
8,BK1331,数字芯片设计,53.76,3.96,212794232540.0,5.16,44,7,0,51,0.8627450980392157,0,聚辰股份,688123,20.0,热度53.8 = 涨幅3.96%、上涨占比86.3%、成交额2127.9亿、领涨股聚辰股份 20.00%,东方财富行业板块
