sector_rank,sector_code,sector_name,heat_score,pct_change,amount,turnover,up_count,down_count,flat_count,stock_count,up_ratio,selected_count,leader_name,leader_code,leader_pct_change,quant_note,data_source
1,BK1314,风电整机,82.34,4.95,1035281815.0,0.61,5,0,0,5,1.0,0,三一重能,688349,12.47,热度82.3 = 涨幅4.95%、上涨占比100.0%、成交额10.4亿、领涨股三一重能 12.47%,东方财富行业板块
2,BK1443,橡胶助剂,68.3,4.06,335569440.0,0.56,2,0,0,2,1.0,0,彤程新材,603650,7.37,热度68.3 = 涨幅4.06%、上涨占比100.0%、成交额3.4亿、领涨股彤程新材 7.37%,东方财富行业板块
3,BK1325,半导体材料,55.77,1.54,9211802857.0,1.02,22,9,0,31,0.7096774193548387,0,上海合晶,688584,12.87,热度55.8 = 涨幅1.54%、上涨占比71.0%、成交额92.1亿、领涨股上海合晶 12.87%,东方财富行业板块
4,BK1032,风电设备,48.85,2.15,2011502977.0,0.52,23,8,0,31,0.7419354838709677,0,三一重能,688349,12.4,热度48.9 = 涨幅2.15%、上涨占比74.2%、成交额20.1亿、领涨股三一重能 12.40%,东方财富行业板块
5,BK1319,硅料硅片,48.21,2.45,709443917.0,0.79,4,1,0,5,0.8,0,TCL中环,002129,6.98,热度48.2 = 涨幅2.45%、上涨占比80.0%、成交额7.1亿、领涨股TCL中环 6.98%,东方财富行业板块
6,BK1462,玻纤制造,48.13,2.16,4434655760.0,0.77,5,3,0,8,0.625,0,中材科技,002080,8.64,热度48.1 = 涨幅2.16%、上涨占比62.5%、成交额44.3亿、领涨股中材科技 8.64%,东方财富行业板块
7,BK1318,光伏主材,46.77,2.32,425314909.0,0.27,2,0,0,2,1.0,0,隆基绿能,601012,3.17,热度46.8 = 涨幅2.32%、上涨占比100.0%、成交额4.3亿、领涨股隆基绿能 3.17%,东方财富行业板块
8,BK1326,半导体设备,45.09,1.71,5581605540.0,0.51,16,6,1,23,0.6956521739130435,0,京仪装备,688652,7.01,热度45.1 = 涨幅1.71%、上涨占比69.6%、成交额55.8亿、领涨股京仪装备 7.01%,东方财富行业板块
