rank,code,name,industry,price,pct_change,amount,total_score,raw_score,entry_bonus,flow_score,sector_score,tech_score,trend_score,volume_score,dmi_score,macd_score,expma_score,money_flow_score,leading_score,context_score,event_score,event_count,event_note,event_titles,margin_score,margin_balance_change_pct,margin_net_buy,margin_note,lhb_score,lhb_count,lhb_net_buy,lhb_note,context_note,selection_reason,watch_reason,buy_action,buy_trigger,buy_avoid_rules,max_open_gap_pct,max_buy_price,pullback_buy_price,invalid_below_price,trend_quality_score,trend_persistence_score,ma20_slope_score,ma20_distance_score,adx,plus_di,minus_di,pdi_mdi_diff,vol_ratio,close_ma21_ratio,close_ma20_ratio,above_ma20_days_20,ma20_slope_10_pct,ma20_slope_20_pct,trend_quality_pass,current_above_ma20,ma20_not_overheated,ma3_ma5_ratio,expma_ratio,macd_diff,macd_dea,macd_hist,main_net_amount,main_net_ratio,sector_rank_pct,stock_rank_in_sector,amount_ok,fund_ok,sector_hot,leading_stock,consecutive_up,consecutive_down,entry_label,planned_holding_days,stop_loss_price,take_profit_1_price,take_profit_2_price,trailing_stop_price,risk_reward_ratio,exit_strategy,exit_signal,exit_note,day1_stop_loss_price,day1_take_profit_price,day1_exit_plan,day2_stop_loss_price,day2_take_profit_price,day2_exit_plan,day3_stop_loss_price,day3_take_profit_price,day3_exit_plan
1,603379,三美股份,,83.48,10.0,3591135343.0,90.1,96.1,-6,7.94,20.0,21.27,13.1,9.95,15.0,8.0,10.0,7.94,9.3,2.8,0.0,7,近期公告中性,三美股份:浙江三美化工股份有限公司期货交易业务管理制度(2026年6月)；三美股份:浙江三美化工股份有限公司关于开展期货交易业务的公告；三美股份:浙江三美化工股份有限公司第七届董事会第九次会议决议公告,2.8,12.92,154551046.0,融资余额上升12.9%,0.0,0,0.0,近期未上龙虎榜,近期公告中性；融资余额上升12.9%；近期未上龙虎榜,趋势质量较好；20日多数站上MA20；MA20斜率上行；DMI趋势偏强；量能放大,短线已有涨幅，避免高开追入；当日涨幅较高；偏离MA20较大,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤84.73；盘中回踩72.39附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破82.23或开盘后放量走弱不买；成交额明显不足不买。,1.5,84.73,72.39,82.23,13.1,5.1,5.0,0.0,69.8,49.09,2.09,47.0,2.49,0.273948,1.26961,17,8.8672,9.0125,False,True,False,0.048453,0.081981,4.013632,2.580873,2.865518,262772218.0,0.073172,0.0698,0.0698,True,True,True,True,3,0,🟠 连涨多日，等回调再入,1,77.64,92.83,98.67,77.69,1.6,1日快进快出，冲高先兑现,1日短线计划；T+1看88.74/止损80.56；T+2看90.49/止损77.64；T+3看92.83/止损77.69,参考信号日收盘价83.48，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,80.56,88.74,T+1：冲到88.74先减仓，跌破80.56止损；若高开低走不恋战,77.64,90.49,T+2：未突破90.49且量能转弱则减仓，跌破77.64退出,77.69,92.83,T+3：到92.83分批止盈，跌破77.69或MA5失守退出
2,600999,招商证券,,22.94,8.72,5463139371.0,89.54,89.54,0,9.27,15.0,24.73,13.4,7.23,15.0,8.0,10.0,9.27,8.84,2.8,0.0,14,近期公告中性,招商证券:关于招商证券股份有限公司2025年度股东会之法律意见书；招商证券:H股公告(董事名单与其角色和职能)；招商证券:招商证券股份有限公司薪酬管理制度,2.8,12.28,187671307.0,融资余额上升12.3%,0.0,0,0.0,近期未上龙虎榜,近期公告中性；融资余额上升12.3%；近期未上龙虎榜,趋势质量较好；20日多数站上MA20；MA20斜率上行；DMI趋势偏强；量能放大,短线已有涨幅，避免高开追入；当日涨幅较高；偏离MA20较大,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤23.28；盘中回踩21.42附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破22.60或开盘后放量走弱不买；成交额明显不足不买。,1.5,23.28,21.42,22.6,13.4,5.4,5.0,0.0,70.9,49.14,2.54,46.6,1.81,0.214369,1.208736,18,9.0436,13.4603,True,True,True,0.013011,0.086436,1.070737,0.911218,0.319039,708328480.0,0.129656,0.1163,0.1163,True,True,True,True,2,0,🟠 连涨2天，注意节奏,1,21.33,25.51,27.12,21.83,1.6,1日快进快出，冲高先兑现,1日短线计划；T+1看24.39/止损22.14；T+2看24.87/止损21.74；T+3看25.51/止损21.83,参考信号日收盘价22.94，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,22.14,24.39,T+1：冲到24.39先减仓，跌破22.14止损；若高开低走不恋战,21.74,24.87,T+2：未突破24.87且量能转弱则减仓，跌破21.74退出,21.83,25.51,T+3：到25.51分批止盈，跌破21.83或MA5失守退出
3,603078,江化微,,52.66,6.56,3569008313.0,87.29,91.29,-4,8.87,15.0,37.39,15.0,7.0,10.52,15.0,10.0,8.87,7.91,2.0,-0.8,6,"公告偏风险(0个负面关键词, 1个异动/风险词)",江化微:江阴江化微电子材料股份有限公司关于为子公司提供担保的进展公告；江化微:江阴江化微电子材料股份有限公司关于注销全资子公司山东江化微的公告；江化微:江阴江化微电子材料股份有限公司关于对全资子公司镇江江化微增资的公告,2.8,7.28,7955697.0,融资余额上升7.3%,0.0,0,0.0,近期未上龙虎榜,"公告偏风险(0个负面关键词, 1个异动/风险词)；融资余额上升7.3%；近期未上龙虎榜",趋势质量较好；20日多数站上MA20；MA20斜率上行；DMI趋势偏强；量能放大,短线已有涨幅，避免高开追入；偏离MA20较大,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤53.45；盘中回踩47.68附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破51.87或开盘后放量走弱不买；成交额明显不足不买。,1.5,53.45,47.68,51.87,15.0,6.0,5.0,1.59,36.0,36.28,9.08,27.2,1.75,0.18745,1.176536,20,16.2996,41.4953,True,True,True,0.024173,0.089556,2.079798,1.642123,0.875348,402893582.0,0.112887,0.2093,0.2093,True,True,False,False,2,0,🟠 远离均线，不宜追高,1,48.97,58.97,65.28,48.97,1.71,1日快进快出，冲高先兑现,1日短线计划；T+1看56.02/止损50.82；T+2看57.71/止损48.97；T+3看58.97/止损48.97,参考信号日收盘价52.66，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,50.82,56.02,T+1：冲到56.02先减仓，跌破50.82止损；若高开低走不恋战,48.97,57.71,T+2：未突破57.71且量能转弱则减仓，跌破48.97退出,48.97,58.97,T+3：到58.97分批止盈，跌破48.97或MA5失守退出
4,000566,海南海药,,5.49,10.02,1076585693.0,86.81,92.81,-6,13.03,20.0,22.98,8.07,7.94,15.0,8.0,10.0,13.03,9.77,1.0,-0.8,10,"公告偏风险(0个负面关键词, 1个异动/风险词)",海南海药:2026年第三次临时股东会决议公告；海南海药:上海市锦天城(深圳)律师事务所关于海南海药股份有限公司2026年第三次临时股东会的法律意见书；海南海药:关于股票交易异常波动公告,1.8,4.01,23735102.0,融资余额上升4.0%,0.0,0,0.0,近期未上龙虎榜,"公告偏风险(0个负面关键词, 1个异动/风险词)；融资余额上升4.0%；近期未上龙虎榜",DMI趋势偏强；量能放大；MACD动能确认；资金净流入；板块相对靠前,短线已有涨幅，避免高开追入；当日涨幅较高；偏离MA20较大,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤5.57；盘中回踩4.79附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破5.41或开盘后放量走弱不买；成交额明显不足不买。,1.5,5.57,4.79,5.41,8.07,2.1,2.97,0.0,48.6,53.01,15.4,37.61,1.99,0.32624,1.325287,7,2.3724,-8.0364,False,True,False,0.044797,0.082898,0.329057,0.196623,0.264868,312271881.0,0.290058,0.0233,0.0233,True,True,True,True,3,0,🟠 连涨多日，等回调再入,1,5.11,6.1,6.49,5.11,1.6,1日快进快出，冲高先兑现,1日短线计划；T+1看5.84/止损5.30；T+2看5.95/止损5.11；T+3看6.10/止损5.11,参考信号日收盘价5.49，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,5.3,5.84,T+1：冲到5.84先减仓，跌破5.30止损；若高开低走不恋战,5.11,5.95,T+2：未突破5.95且量能转弱则减仓，跌破5.11退出,5.11,6.1,T+3：到6.10分批止盈，跌破5.11或MA5失守退出
5,600630,龙头股份,,9.72,-0.2,443976228.0,86.63,80.63,6,25.0,5.0,21.97,15.0,5.81,10.28,8.0,10.0,25.0,1.74,-0.2,0.0,6,近期公告中性,龙头股份:龙头股份2025年年度股东会决议公告；龙头股份:上海市锦天城律师事务所关于上海龙头(集团)股份有限公司2025年年度股东会的法律意见书；龙头股份:募集资金管理制度,-0.2,-1.73,2997892.0,融资余额下降-1.7%,0.0,0,0.0,近期未上龙虎榜,近期公告中性；融资余额下降-1.7%；近期未上龙虎榜,趋势质量较好；20日多数站上MA20；MA20斜率上行；DMI趋势偏强；MACD动能确认,事件/两融/龙虎榜偏负,可积极观察,T+1不涨停、不停牌；开盘高开不超过3.0%且价格≤10.01；盘中回踩9.60附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过3.0%不追；跌破9.57或开盘后放量走弱不买；成交额明显不足不买。,3.0,10.01,9.6,9.57,15.0,6.0,5.0,4.0,35.6,29.21,10.62,18.59,1.45,0.083267,1.076829,20,9.1673,12.9795,True,True,True,0.009722,0.051655,0.266901,0.261032,0.011738,355186660.0,0.800013,0.8256,0.8256,True,True,False,False,0,1,🟢 最佳入场时机,3,9.04,10.81,11.49,9.41,1.6,3日趋势观察，破短均退出,3日短线计划；T+1看10.33/止损9.38；T+2看10.54/止损9.46；T+3看10.81/止损9.41,参考信号日收盘价9.72，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,9.38,10.33,T+1：冲到10.33先减仓，跌破9.38止损；若高开低走不恋战,9.46,10.54,T+2：未突破10.54且量能转弱则减仓，跌破9.46退出,9.41,10.81,T+3：到10.81分批止盈，跌破9.41或MA5失守退出
6,605020,永和股份,,43.99,8.03,2553327887.0,86.06,86.06,0,7.37,15.0,22.42,12.8,6.37,15.0,8.0,10.0,7.37,8.72,2.8,0.0,5,近期公告中性,永和股份:浙江永和制冷股份有限公司第四届董事会第二十九次会议决议公告；永和股份:浙江永和制冷股份有限公司关于调整部分募集资金投资项目投资总额并延期的公告；永和股份:浙江永和制冷股份有限公司关于全资子公司投资建设新项目的公告,2.8,17.07,64214780.0,融资余额上升17.1%,0.0,0,0.0,近期未上龙虎榜,近期公告中性；融资余额上升17.1%；近期未上龙虎榜,趋势质量较好；20日多数站上MA20；MA20斜率上行；DMI趋势偏强；量能放大,当日涨幅较高；偏离MA20较大,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤44.65；盘中回踩40.83附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破43.33或开盘后放量走弱不买；成交额明显不足不买。,1.5,44.65,40.83,43.33,12.8,4.8,5.0,0.0,59.6,41.76,2.91,38.85,1.59,0.21245,1.211312,16,7.2328,14.8532,True,True,True,0.03182,0.088993,2.146867,1.686614,0.920506,124993989.0,0.048953,0.1279,0.1279,True,True,True,True,1,0,🟡 首日上涨，可关注,1,40.91,48.92,52.86,40.91,1.6,1日快进快出，冲高先兑现,1日短线计划；T+1看46.76/止损42.45；T+2看47.69/止损40.91；T+3看48.92/止损40.91,参考信号日收盘价43.99，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,42.45,46.76,T+1：冲到46.76先减仓，跌破42.45止损；若高开低走不恋战,40.91,47.69,T+2：未突破47.69且量能转弱则减仓，跌破40.91退出,40.91,48.92,T+3：到48.92分批止盈，跌破40.91或MA5失守退出
7,600378,昊华科技,,81.0,7.46,11145300094.0,85.01,91.01,-6,7.11,15.0,37.89,14.0,7.68,14.24,15.0,10.0,7.11,8.37,-0.4,-1.6,4,"公告偏风险(0个负面关键词, 2个异动/风险词)",昊华科技:昊华科技关于控股股东及其一致行动人之间内部协议转让公司股份暨权益变动的提示性公告；昊华科技:昊华科技股票交易异常波动公告；昊华科技:昊华科技股票交易异常波动公告,1.2,7.84,-4080170.0,融资余额上升7.8%,0.0,0,0.0,近期未上龙虎榜,"公告偏风险(0个负面关键词, 2个异动/风险词)；融资余额上升7.8%；近期未上龙虎榜",趋势质量较好；20日多数站上MA20；MA20斜率上行；DMI趋势偏强；量能放大,短线已有涨幅，避免高开追入；当日涨幅较高；偏离MA20较大；事件/两融/龙虎榜偏负,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤82.21；盘中回踩72.23附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破79.78或开盘后放量走弱不买；成交额明显不足不买。,1.5,82.21,72.23,79.78,14.0,6.0,5.0,0.0,43.5,48.24,19.14,29.1,1.92,0.344196,1.325663,20,33.6984,65.2106,False,True,False,0.037963,0.16272,5.733697,5.05925,1.348894,420151520.0,0.037698,0.1628,0.1628,True,True,True,True,3,0,🟠 连涨多日，等回调再入,1,75.33,90.36,99.72,75.33,1.65,1日快进快出，冲高先兑现,1日短线计划；T+1看86.10/止损78.16；T+2看88.49/止损75.33；T+3看90.36/止损75.33,参考信号日收盘价81.00，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,78.16,86.1,T+1：冲到86.10先减仓，跌破78.16止损；若高开低走不恋战,75.33,88.49,T+2：未突破88.49且量能转弱则减仓，跌破75.33退出,75.33,90.36,T+3：到90.36分批止盈，跌破75.33或MA5失守退出
8,600641,先导基电,,43.85,10.01,5470812363.0,85.01,89.01,-4,7.37,20.0,22.64,12.2,6.99,15.0,8.0,10.0,7.37,9.65,-0.2,-3.0,4,"公告偏风险(3个负面关键词, 0个异动/风险词)",先导基电:上海先导基电科技股份有限公司关于媒体报道的说明公告；先导基电:上海先导基电科技股份有限公司关于年度预计担保事项进展公告；先导基电:上海先导基电科技股份有限公司关于股东提前终止减持计划暨减持股份结果公告,2.8,10.21,83818069.0,融资余额上升10.2%,0.0,0,0.0,近期未上龙虎榜,"公告偏风险(3个负面关键词, 0个异动/风险词)；融资余额上升10.2%；近期未上龙虎榜",趋势质量较好；MA20斜率上行；DMI趋势偏强；量能放大；MACD动能确认,短线已有涨幅，避免高开追入；当日涨幅较高；偏离MA20较大；事件/两融/龙虎榜偏负,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤44.51；盘中回踩38.93附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破43.19或开盘后放量走弱不买；成交额明显不足不买。,1.5,44.51,38.93,43.19,12.2,4.2,5.0,0.0,60.1,42.44,8.81,33.62,1.75,0.361057,1.347324,14,17.6092,15.0096,False,True,False,0.026458,0.133823,2.935692,2.468027,0.935329,268247520.0,0.049032,0.0349,0.0349,True,True,True,True,2,0,🟠 远离均线，不宜追高,1,40.78,48.76,51.99,40.78,1.6,1日快进快出，冲高先兑现,1日短线计划；T+1看46.61/止损42.32；T+2看47.53/止损40.78；T+3看48.76/止损40.78,参考信号日收盘价43.85，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,42.32,46.61,T+1：冲到46.61先减仓，跌破42.32止损；若高开低走不恋战,40.78,47.53,T+2：未突破47.53且量能转弱则减仓，跌破40.78退出,40.78,48.76,T+3：到48.76分批止盈，跌破40.78或MA5失守退出
9,603324,盛剑科技,,55.3,7.88,1081120913.0,84.02,84.02,0,8.39,15.0,22.19,13.4,5.72,15.0,8.0,10.0,8.39,8.6,-0.1,-0.1,15,"公告偏风险(0个负面关键词, 2个异动/风险词)",盛剑科技:盛剑科技2025年度环境、社会和公司治理(ESG)报告(英文版)；盛剑科技:盛剑科技关于股票交易异常波动公告；盛剑科技:盛剑科技2026年限制性股票激励计划首次授予激励对象名单(首次授予日),0.0,0.0,0.0,无两融数据,0.0,0,0.0,近期未上龙虎榜,"公告偏风险(0个负面关键词, 2个异动/风险词)；无两融数据；近期未上龙虎榜",趋势质量较好；20日多数站上MA20；MA20斜率上行；DMI趋势偏强；MACD动能确认,当日涨幅较高；偏离MA20较大；事件/两融/龙虎榜偏负,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤56.13；盘中回踩51.55附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破54.47或开盘后放量走弱不买；成交额明显不足不买。,1.5,56.13,51.55,54.47,13.4,5.4,5.0,0.0,74.8,41.98,2.12,39.86,1.43,0.41056,1.401171,18,24.1198,35.4462,False,True,False,0.035709,0.188478,5.004358,4.448917,1.110881,99925962.0,0.092428,0.1395,0.1395,True,True,True,True,1,0,🟡 首日上涨，可关注,1,51.43,61.67,68.03,51.43,1.64,1日快进快出，冲高先兑现,1日短线计划；T+1看58.78/止损53.36；T+2看60.39/止损51.43；T+3看61.67/止损51.43,参考信号日收盘价55.30，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,53.36,58.78,T+1：冲到58.78先减仓，跌破53.36止损；若高开低走不恋战,51.43,60.39,T+2：未突破60.39且量能转弱则减仓，跌破51.43退出,51.43,61.67,T+3：到61.67分批止盈，跌破51.43或MA5失守退出
10,603991,领先股份,,155.27,10.0,2103298657.0,83.49,89.49,-6,9.72,20.0,18.53,12.2,10.0,10.03,8.0,10.0,9.72,9.53,0.0,0.0,5,近期公告中性,领先股份:华泰联合证券有限责任公司关于深圳市领先半导体科技产业股份有限公司重大资产置换、发行股份及支付现金购买资产并募集配套资金暨关联交易之部分限售股上市流通的核查意见；领先股份:重大资产置换、发行股份及支付现金购买资产并募集配套资金暨关联交易之部分限售股上市流通的公告；领先股份:关于变更公司注册地址并完成工商变更登记及变更办公地址的公告,0.0,0.0,0.0,无两融数据,0.0,0,0.0,近期未上龙虎榜,近期公告中性；无两融数据；近期未上龙虎榜,趋势质量较好；MA20斜率上行；DMI趋势偏强；量能放大；MACD动能确认,短线已有涨幅，避免高开追入；当日涨幅较高；偏离MA20较大,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤157.60；盘中回踩134.51附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破152.94或开盘后放量走弱不买；成交额明显不足不买。,1.5,157.6,134.51,152.94,12.2,4.2,5.0,0.0,35.1,50.75,11.69,39.07,2.81,0.279914,1.274042,14,8.2729,2.3537,False,True,False,0.045604,0.080727,7.32458,4.985987,4.677186,313160410.0,0.14889,0.0465,0.0465,True,True,True,True,3,0,🟠 连涨多日，等回调再入,1,144.4,172.66,183.56,144.4,1.6,1日快进快出，冲高先兑现,1日短线计划；T+1看165.05/止损149.84；T+2看168.31/止损144.40；T+3看172.66/止损144.40,参考信号日收盘价155.27，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,149.84,165.05,T+1：冲到165.05先减仓，跌破149.84止损；若高开低走不恋战,144.4,168.31,T+2：未突破168.31且量能转弱则减仓，跌破144.40退出,144.4,172.66,T+3：到172.66分批止盈，跌破144.40或MA5失守退出
