rank,code,name,industry,price,pct_change,amount,total_score,raw_score,entry_bonus,flow_score,sector_score,tech_score,trend_score,volume_score,dmi_score,macd_score,expma_score,money_flow_score,leading_score,adx,plus_di,minus_di,pdi_mdi_diff,vol_ratio,close_ma21_ratio,ma3_ma5_ratio,expma_ratio,macd_diff,macd_dea,macd_hist,main_net_amount,main_net_ratio,sector_rank_pct,stock_rank_in_sector,amount_ok,fund_ok,sector_hot,leading_stock,consecutive_up,consecutive_down,entry_label
1,600400,红豆股份,,3.26,10.13,333906584.0,98.35,104.35,-6,25.0,20.0,37.09,15.0,6.16,10.32,8.0,10.0,25.0,9.87,35.6,46.68,11.29,35.39,1.54,0.153496,0.038462,0.027003,0.078094,0.004211,0.147766,76949028.9,0.230451,0.0133,0.0133,True,True,True,True,3,0,🟠 连涨多日，等回调再入
2,000672,上峰材料,,20.1,7.14,931193663.0,97.27,97.27,0,22.16,15.0,24.09,15.0,5.46,13.52,8.0,10.0,22.16,8.13,42.0,43.95,8.6,35.35,1.36,0.161594,0.021832,0.059748,0.795335,0.474996,0.640677,180478091.87,0.193814,0.1867,0.1867,True,True,True,True,2,0,🟠 连涨2天，注意节奏
3,000783,长江证券,,9.46,10.0,2839267864.0,97.0,101.0,-4,17.5,20.0,34.8,15.0,7.45,13.52,8.0,10.0,17.5,9.53,42.0,56.31,8.52,47.79,1.86,0.188229,0.029435,0.039674,0.309086,0.115167,0.387838,379787169.53,0.133762,0.0467,0.0467,True,True,True,True,2,0,🟠 远离均线，不宜追高
4,600851,海欣股份,,9.72,9.96,434858565.0,94.68,100.68,-6,17.12,20.0,25.7,15.0,10.0,11.76,8.0,10.0,17.12,8.8,38.5,63.24,9.1,54.14,2.7,0.251119,0.067759,0.054206,0.435421,0.165445,0.539953,56037469.97,0.128864,0.12,0.12,True,True,True,True,3,0,🟠 连涨多日，等回调再入
5,601066,中信建投,,28.81,5.18,4413625784.0,94.65,98.65,-4,11.72,15.0,42.64,15.0,10.0,15.0,15.0,10.0,11.72,6.93,54.3,50.99,8.1,42.89,2.91,0.150866,0.018051,0.054465,0.90576,0.61798,0.575559,261732658.85,0.059301,0.3067,0.3067,True,True,False,False,2,0,🟠 远离均线，不宜追高
6,600707,彩虹股份,,13.64,10.0,4874317549.0,94.01,98.01,-4,19.89,20.0,19.74,15.0,5.88,9.71,8.0,10.0,19.89,9.53,34.4,36.09,9.66,26.43,1.47,0.206114,0.016096,0.076221,0.576512,0.352166,0.448691,802574388.88,0.164654,0.0467,0.0467,True,True,True,True,2,0,🟠 远离均线，不宜追高
7,000050,深天马Ａ,,9.99,7.65,1446314031.0,92.94,96.94,-4,18.7,15.0,24.64,15.0,7.0,14.98,8.0,10.0,18.7,8.27,45.0,43.52,5.85,37.67,1.75,0.203891,0.029712,0.066862,0.444915,0.267719,0.354392,215954814.78,0.149314,0.1733,0.1733,True,True,True,True,2,0,🟠 远离均线，不宜追高
8,601869,长飞光纤,,570.58,10.0,12928875317.0,92.33,98.33,-6,14.22,20.0,22.59,15.0,6.84,14.73,8.0,10.0,14.22,9.53,44.5,52.14,7.94,44.2,1.71,0.301794,0.046656,0.099447,30.61934,20.552639,20.133403,1183179226.12,0.091514,0.0467,0.0467,True,True,True,True,3,0,🟠 连涨多日，等回调再入
9,600470,六国化工,,6.5,9.98,634301276.0,92.17,96.17,-4,13.23,20.0,38.01,15.0,10.0,12.79,8.0,8.22,13.23,8.93,40.6,42.54,12.59,29.94,2.66,0.158842,0.014146,0.014054,0.13996,0.046869,0.186182,49928750.09,0.078715,0.1067,0.1067,True,True,True,True,2,0,🟠 远离均线，不宜追高
10,600360,华微电子,,13.54,9.99,1854765400.0,91.95,95.95,-4,20.1,20.0,33.38,15.0,7.85,5.94,8.0,10.0,20.1,9.07,26.9,33.86,12.31,21.55,1.96,0.12552,0.027563,0.035433,0.295218,0.100478,0.38948,310353901.67,0.167328,0.0933,0.0933,True,True,True,True,1,0,🟠 远离均线，不宜追高
11,603980,吉华集团,,6.71,5.5,406630183.0,90.94,94.94,-4,16.94,15.0,33.46,15.0,9.45,13.22,8.0,10.0,16.94,7.33,41.4,42.14,8.2,33.94,2.36,0.154243,0.029492,0.029487,0.191655,0.079237,0.224838,51462760.35,0.126559,0.2667,0.2667,True,True,False,False,2,0,🟠 远离均线，不宜追高
12,001267,汇绿生态,,61.36,8.81,4774628244.0,90.76,94.76,-4,17.76,20.0,34.8,15.0,6.05,9.86,8.0,9.56,17.76,8.53,34.7,26.34,7.91,18.44,1.51,0.112679,0.032674,0.018529,1.303466,0.139008,2.328916,654720943.97,0.137125,0.1467,0.1467,True,True,True,True,1,0,🟠 远离均线，不宜追高
13,603727,博迈科,,18.8,7.92,248481563.0,89.92,95.92,-6,15.55,15.0,33.64,15.0,8.97,15.0,8.0,10.0,15.55,8.4,53.8,53.26,6.59,46.68,2.24,0.228567,0.038003,0.037049,0.759466,0.287307,0.944319,26993887.52,0.108635,0.16,0.16,True,True,True,True,3,0,🟠 连涨多日，等回调再入
14,600171,上海贝岭,,30.8,10.0,1209720129.0,88.44,92.44,-4,17.3,20.0,32.42,15.0,9.18,6.36,8.0,7.07,17.3,9.53,27.7,42.16,8.52,33.63,2.29,0.09642,0.017757,0.010239,0.471114,0.027049,0.88813,158743685.44,0.131223,0.0467,0.0467,True,True,True,True,1,0,🟠 远离均线，不宜追高
15,603407,长裕集团,,82.32,9.99,888880299.0,86.44,92.44,-6,7.28,20.0,27.98,15.0,7.96,15.0,8.0,10.0,7.28,9.2,56.5,58.74,8.01,50.73,1.99,0.392232,0.072626,0.062803,5.373592,2.234649,6.277885,1907388.03,0.002146,0.08,0.08,True,True,True,True,3,0,🟠 连涨多日，等回调再入
16,001266,宏英智能,,53.23,4.09,386517755.0,86.21,84.21,2,12.04,15.0,26.99,15.0,5.88,12.16,8.0,10.0,12.04,6.13,39.3,32.09,13.49,18.6,1.47,0.089057,0.015729,0.0438,1.483252,0.869173,1.228158,24503875.61,0.063397,0.3867,0.3867,True,True,False,False,1,0,🟢 趋势启动，适合入场
17,000571,新大洲A,,6.41,9.95,546533481.0,85.81,89.81,-4,11.84,20.0,31.5,15.0,10.0,6.3,8.0,10.0,11.84,8.67,27.6,38.01,8.81,29.2,2.87,0.149334,0.030431,0.020967,0.137383,0.017234,0.240298,33279313.12,0.060892,0.1333,0.1333,True,True,True,True,2,0,🟠 远离均线，不宜追高
