sector_rank,sector_code,sector_name,heat_score,pct_change,amount,turnover,up_count,down_count,flat_count,stock_count,up_ratio,selected_count,leader_name,leader_code,leader_pct_change,quant_note,data_source
1,BK1330,模拟芯片设计,80.77,8.97,34599622137.0,5.58,34,1,0,35,0.9714285714285714,0,敏芯股份,688286,20.0,热度80.8 = 涨幅8.97%、上涨占比97.1%、成交额346.0亿、领涨股敏芯股份 20.00%,东方财富行业板块
2,BK1334,光学元件,64.24,7.93,32345350456.0,6.5,26,0,0,26,1.0,0,水晶光电,002273,10.02,热度64.2 = 涨幅7.93%、上涨占比100.0%、成交额323.5亿、领涨股水晶光电 10.02%,东方财富行业板块
3,BK1331,数字芯片设计,61.46,6.85,240026090884.0,5.73,47,4,0,51,0.9215686274509803,0,格科微,688728,20.02,热度61.5 = 涨幅6.85%、上涨占比92.2%、成交额2400.3亿、领涨股格科微 20.02%,东方财富行业板块
4,BK1036,半导体,60.62,6.31,623972411010.0,7.46,155,22,2,179,0.8659217877094972,0,格科微,688728,20.02,热度60.6 = 涨幅6.31%、上涨占比86.6%、成交额6239.7亿、领涨股格科微 20.02%,东方财富行业板块
5,BK1335,面板,56.0,6.27,91137075502.0,8.99,39,3,0,42,0.9285714285714286,0,联得装备,300545,20.0,热度56.0 = 涨幅6.27%、上涨占比92.9%、成交额911.4亿、领涨股联得装备 20.00%,东方财富行业板块
6,BK1201,电子,51.14,5.36,1198278685441.0,7.02,452,54,5,511,0.8845401174168297,0,水晶光电,002273,10.02,热度51.1 = 涨幅5.36%、上涨占比88.5%、成交额11982.8亿、领涨股水晶光电 10.02%,东方财富行业板块
7,BK1038,光学光电子,50.74,6.42,151088389830.0,8.73,92,6,0,98,0.9387755102040817,0,水晶光电,002273,10.02,热度50.7 = 涨幅6.42%、上涨占比93.9%、成交额1510.9亿、领涨股水晶光电 10.02%,东方财富行业板块
8,BK1327,分立器件,50.3,6.61,60052608929.0,8.91,16,2,0,18,0.8888888888888888,0,新洁能,605111,10.0,热度50.3 = 涨幅6.61%、上涨占比88.9%、成交额600.5亿、领涨股新洁能 10.00%,东方财富行业板块
